

[01-09-2015:8:59:11 PM] : B2KQA14 has logged in to IDSIL / PJO using the System 115.244.230.82


[01-09-2015:8:59:49 PM] : B2KQA14 has uploaded a file 93436763 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:49 PM] : B2KQA14 has uploaded a file 93428045 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:50 PM] : B2KQA14 has uploaded a file 93425258 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:51 PM] : B2KQA14 has uploaded a file 93422851 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:52 PM] : B2KQA14 has uploaded a file 93424321 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:52 PM] : B2KQA14 has uploaded a file 93422859 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:53 PM] : B2KQA14 has uploaded a file 93393161 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:53 PM] : B2KQA14 has uploaded a file 93399942 to Hospital/Customer in IDSIL / PJO


[01-09-2015:8:59:55 PM] : B2KQA14 has uploaded a file 93390217 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:42 PM] : B2KQA14 has uploaded a file 93514103 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:43 PM] : B2KQA14 has uploaded a file 93540429 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:44 PM] : B2KQA14 has uploaded a file 93539153 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:44 PM] : B2KQA14 has uploaded a file 93539220 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:46 PM] : B2KQA14 has uploaded a file 93442327 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:46 PM] : B2KQA14 has uploaded a file 93527502 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:00:46 PM] : B2KQA14 has uploaded a file 93459251 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:10 PM] : B2KQA14 has uploaded a file 93626406 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:10 PM] : B2KQA14 has uploaded a file 93626332 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:11 PM] : B2KQA14 has uploaded a file 93626173 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:12 PM] : B2KQA14 has uploaded a file 93626305 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:13 PM] : B2KQA14 has uploaded a file 93582611 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:14 PM] : B2KQA14 has uploaded a file 93528777 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:14 PM] : B2KQA14 has uploaded a file 93394026 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:15 PM] : B2KQA14 has uploaded a file 93459853 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:31 PM] : B2KQA14 has uploaded a file 93643508 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:32 PM] : B2KQA14 has uploaded a file 93640237 to Hospital/Customer in IDSIL / PJO


