

[22-09-2015:6:43:53 PM] : B2KQA14 has logged in to IDSIL / PJO using the System 101.63.239.0


[22-09-2015:6:45:24 PM] : B2KQA14 has picked a file 94163413 in IDSIL / PJO


[22-09-2015:6:58:20 PM] : B2KQA14 has picked a file 94163608 in IDSIL / PJO


[22-09-2015:6:58:50 PM] : B2KQA14 has uploaded a file 94118171 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:50 PM] : B2KQA14 has uploaded a file 94118227 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:50 PM] : B2KQA14 has uploaded a file 94118362 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:51 PM] : B2KQA14 has uploaded a file 94117776 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:51 PM] : B2KQA14 has uploaded a file 94114581 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:52 PM] : B2KQA14 has uploaded a file 94112965 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:53 PM] : B2KQA14 has uploaded a file 94113369 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:58:53 PM] : B2KQA14 has uploaded a file 94111625 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:09 PM] : B2KQA14 has uploaded a file 94122299 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:10 PM] : B2KQA14 has uploaded a file 94122544 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:10 PM] : B2KQA14 has uploaded a file 94122279 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:11 PM] : B2KQA14 has uploaded a file 94122320 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:12 PM] : B2KQA14 has uploaded a file 94122221 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:12 PM] : B2KQA14 has uploaded a file 94118152 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:13 PM] : B2KQA14 has uploaded a file 94120219 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:13 PM] : B2KQA14 has uploaded a file 94119903 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:14 PM] : B2KQA14 has uploaded a file 94119861 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:30 PM] : B2KQA14 has uploaded a file 94122978 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:31 PM] : B2KQA14 has uploaded a file 94122379 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:31 PM] : B2KQA14 has uploaded a file 94122623 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:32 PM] : B2KQA14 has uploaded a file 94122928 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:33 PM] : B2KQA14 has uploaded a file 94122465 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:34 PM] : B2KQA14 has uploaded a file 94122921 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:35 PM] : B2KQA14 has uploaded a file 94122301 to Hospital/Customer in IDSIL / PJO


